Date,"(%) Maximum Relative Humidity (gridMET) at -117.0751E,33.1278N, 2007-01-01 to 2007-12-31"
10/10/07,93.247
10/11/07,100
10/12/07,100
10/13/07,100
10/14/07,97.8222
10/15/07,98.3185
10/16/07,100
10/17/07,100
10/18/07,99.9652
10/19/07,56.1234
10/20/07,79.9065
10/21/07,83.2707
10/22/07,28.7218
10/23/07,25.7109
10/24/07,29.5451
10/25/07,25.3651
10/26/07,58.7483
10/27/07,89.7254
10/28/07,72.3853
10/29/07,67.8057
10/30/07,100
10/31/07,92.5151
11/1/07,94.6132
11/2/07,83.8778
11/3/07,74.5311
11/4/07,66.1282
11/5/07,75.3555
11/6/07,82.4936
11/7/07,84.6632
11/8/07,92.1712
11/9/07,95.9733
11/10/07,100
11/11/07,99.0392
11/12/07,100
11/13/07,74.3115
11/14/07,54.6375
11/15/07,59.6969
11/16/07,77.947
11/17/07,99.8517
11/18/07,77.8587
11/19/07,71.2325
11/20/07,86.6814
11/21/07,100
11/22/07,87.9727
11/23/07,100
11/24/07,92.9141
11/25/07,45.3857
11/26/07,58.0358
11/27/07,77.2065
11/28/07,72.2953
11/29/07,57.1908
11/30/07,97.0658
12/1/07,100
12/2/07,92.5382
12/3/07,84.9004
12/4/07,65.6947
12/5/07,71.2057
12/6/07,99.9474
12/7/07,100
12/8/07,98.068
12/9/07,90.6678
12/10/07,78.8129
12/11/07,100
12/12/07,86.5137
12/13/07,70.5946
12/14/07,78.2043
12/15/07,75.4216
12/16/07,66.8169
12/17/07,95.8339
12/18/07,95.4251
12/19/07,100
12/20/07,99.9128
12/21/07,97.2528
12/22/07,60.3676
12/23/07,48.9178
12/24/07,51.8339
12/25/07,66.903
12/26/07,38.0399
12/27/07,94.9859
12/28/07,48.2264
12/29/07,99.5734
12/30/07,100
12/31/07,91.8263
