Date,"(mm) Precipitation (gridMET) at -117.0751E,33.1278N, 2007-01-01 to 2007-12-31"
8/5/07,0
8/6/07,0
8/7/07,0
8/8/07,0
8/9/07,0
8/10/07,0
8/11/07,0
8/12/07,0
8/13/07,0
8/14/07,0
8/15/07,0
8/16/07,0
8/17/07,0
8/18/07,0
8/19/07,0
8/20/07,0
8/21/07,0
8/22/07,0
8/23/07,0
8/24/07,0
8/25/07,0
8/26/07,2.3114
8/27/07,0
8/28/07,0
8/29/07,0
8/30/07,0
8/31/07,0
9/1/07,0
9/2/07,1.1884
9/3/07,0
9/4/07,0
9/5/07,0
9/6/07,0
9/7/07,0
9/8/07,0
9/9/07,0
9/10/07,0
9/11/07,0
9/12/07,0
9/13/07,0
9/14/07,0
9/15/07,0
9/16/07,0
9/17/07,0
9/18/07,0
9/19/07,0
9/20/07,0
9/21/07,0
9/22/07,0.6705
9/23/07,0
9/24/07,0
9/25/07,0
9/26/07,0
9/27/07,0
9/28/07,0
9/29/07,0
9/30/07,0
10/1/07,0
10/2/07,0
10/3/07,0
10/4/07,0
10/5/07,0
10/6/07,0
10/7/07,0
10/8/07,0
10/9/07,0
10/10/07,0
10/11/07,0
10/12/07,0
10/13/07,2.0006
10/14/07,0
10/15/07,0
10/16/07,0
10/17/07,0.4089
10/18/07,0
10/19/07,0
10/20/07,0
10/21/07,0
10/22/07,0
10/23/07,0
10/24/07,0
10/25/07,0
10/26/07,0
10/27/07,0
10/28/07,0
10/29/07,0
10/30/07,0
10/31/07,0
11/1/07,0
11/2/07,0
11/3/07,0
11/4/07,0
11/5/07,0
11/6/07,0
11/7/07,0
11/8/07,0
11/9/07,0
11/10/07,0.7468
11/11/07,0
11/12/07,0
11/13/07,0
11/14/07,0
11/15/07,10.809
11/16/07,0
11/17/07,25.1174
11/18/07,0
11/19/07,0
11/20/07,0
11/21/07,0
11/22/07,0
11/23/07,0
11/24/07,2.2021
11/25/07,1.0302
11/26/07,0
11/27/07,0
11/28/07,0
11/29/07,0
11/30/07,0
12/1/07,0
12/2/07,0
12/3/07,0
12/4/07,0
12/5/07,36.3624
12/6/07,0
12/7/07,4.2789
12/8/07,1.0575
12/9/07,0
12/10/07,0
12/11/07,7.0643
12/12/07,3.6848
12/13/07,1.6516
12/14/07,0
12/15/07,0
12/16/07,0
12/17/07,0
12/18/07,0
12/19/07,0
12/20/07,0
12/21/07,0
12/22/07,0
12/23/07,1.2101
12/24/07,1.9078
12/25/07,0.9539
12/26/07,0.5233
12/27/07,0
12/28/07,0
12/29/07,0
12/30/07,0
12/31/07,0
