Date,"(m/s) Wind Speed (gridMET) at -117.3962E,33.2170N, 2014-01-01 to 2014-12-31"
7/22/14,2.8106
7/23/14,3.8294
7/24/14,2.8539
7/25/14,2.2709
7/26/14,2.1246
7/27/14,2.4918
7/28/14,2.4917
7/29/14,2.6947
7/30/14,2.712
7/31/14,2.739
8/1/14,2.3218
8/2/14,2.4513
8/3/14,1.5328
8/4/14,1.7205
8/5/14,1.7091
8/6/14,2.3637
8/7/14,1.9464
8/8/14,2.0208
8/9/14,1.9249
8/10/14,2.0308
8/11/14,2.4544
8/12/14,2.5541
8/13/14,2.1303
8/14/14,1.8939
8/15/14,2.4023
8/16/14,2.6888
8/17/14,2.5732
8/18/14,2.6889
8/19/14,3.2528
8/20/14,2.3624
8/21/14,2.0391
8/22/14,2.4567
8/23/14,3.1022
8/24/14,2.0153
8/25/14,2.4239
8/26/14,2.3811
8/27/14,2.2402
8/28/14,3.3479
8/29/14,2.8883
8/30/14,1.9126
8/31/14,2.6253
9/1/14,3.3501
9/2/14,3.0012
9/3/14,2.2701
9/4/14,2.0557
9/5/14,1.5804
9/6/14,1.7604
9/7/14,2.4607
9/8/14,1.9289
9/9/14,2.4085
9/10/14,1.8201
9/11/14,1.9433
9/12/14,1.9588
9/13/14,2.0419
9/14/14,1.662
9/15/14,2.1368
9/16/14,2.3245
9/17/14,2.1584
9/18/14,3.4375
9/19/14,3.1457
9/20/14,2.9569
9/21/14,2.6379
9/22/14,2.434
9/23/14,1.4645
9/24/14,1.4867
9/25/14,2.2847
9/26/14,3.0383
9/27/14,3.8832
9/28/14,3.47
9/29/14,2.4562
9/30/14,1.713
10/1/14,2.0608
10/2/14,2.441
10/3/14,2.2706
10/4/14,1.4843
10/5/14,1.2938
10/6/14,2.4284
10/7/14,2.1361
10/8/14,1.6726
10/9/14,2.7312
10/10/14,1.9637
10/11/14,1.3742
10/12/14,1.2354
10/13/14,1.9145
10/14/14,1.5987
10/15/14,2.2554
10/16/14,2.3795
10/17/14,2.957
10/18/14,2.9193
10/19/14,3.0354
10/20/14,2.4195
10/21/14,3.0397
10/22/14,1.6111
10/23/14,1.0639
10/24/14,2.057
10/25/14,2.7255
10/26/14,3.2148
10/27/14,2.2133
10/28/14,1.3786
10/29/14,1.7594
10/30/14,1.8345
10/31/14,2.1886
11/1/14,5.8792
11/2/14,4.2654
11/3/14,2.5057
11/4/14,3.53
11/5/14,3.5232
11/6/14,3.0733
11/7/14,2.3335
11/8/14,1.7367
11/9/14,1.2357
11/10/14,2.3447
11/11/14,2.8785
11/12/14,3.0012
11/13/14,2.2085
11/14/14,2.8025
11/15/14,3.7581
11/16/14,3.0239
11/17/14,3.6331
11/18/14,3.1464
11/19/14,1.9763
11/20/14,2.4457
11/21/14,3.5219
11/22/14,2.0622
11/23/14,3.0398
11/24/14,3.8442
11/25/14,3.3983
11/26/14,2.5959
11/27/14,2.3283
11/28/14,1.7433
11/29/14,2.8857
11/30/14,4.6315
12/1/14,1.8806
12/2/14,3.3608
12/3/14,3.4744
12/4/14,3.2237
12/5/14,1.7129
12/6/14,2.3281
12/7/14,2.0885
12/8/14,1.88
12/9/14,1.5377
12/10/14,1.2418
12/11/14,2.9207
12/12/14,6.81
12/13/14,2.9131
12/14/14,1.3481
12/15/14,1.8986
12/16/14,3.2982
12/17/14,3.0049
12/18/14,2.0445
12/19/14,1.478
12/20/14,1.9655
12/21/14,2.1846
12/22/14,1.3059
12/23/14,2.5022
12/24/14,3.0123
12/25/14,3.6622
12/26/14,3.6086
12/27/14,3.4456
12/28/14,1.918
12/29/14,2.4217
12/30/14,3.8865
12/31/14,3.4406
