Date,"(m/s) Wind Speed (gridMET) at -117.0751E,33.1278N, 2007-01-01 to 2007-12-31"
7/6/07,1.958
7/7/07,2.0432
7/8/07,2.3862
7/9/07,2.5686
7/10/07,2.0841
7/11/07,2.1074
7/12/07,2.6636
7/13/07,2.3671
7/14/07,2.074
7/15/07,2.1333
7/16/07,2.7563
7/17/07,2.4204
7/18/07,2.6087
7/19/07,2.6568
7/20/07,2.3559
7/21/07,3.1462
7/22/07,2.6289
7/23/07,2.6179
7/24/07,2.8924
7/25/07,2.5218
7/26/07,2.3218
7/27/07,2.4036
7/28/07,2.7893
7/29/07,2.9337
7/30/07,3.0604
7/31/07,2.6525
8/1/07,2.0913
8/2/07,2.4216
8/3/07,2.3502
8/4/07,3.1657
8/5/07,3.4301
8/6/07,3.3061
8/7/07,2.7992
8/8/07,2.6165
8/9/07,2.2047
8/10/07,2.6267
8/11/07,2.6186
8/12/07,2.499
8/13/07,2.358
8/14/07,1.9467
8/15/07,2.151
8/16/07,2.1461
8/17/07,3.2076
8/18/07,2.9953
8/19/07,3.2078
8/20/07,2.7779
8/21/07,2.476
8/22/07,2.5602
8/23/07,3.0168
8/24/07,2.9244
8/25/07,2.9944
8/26/07,2.3618
8/27/07,2.0031
8/28/07,2.2002
8/29/07,2.909
8/30/07,2.6484
8/31/07,2.4314
9/1/07,2.7905
9/2/07,2.5351
9/3/07,2.3958
9/4/07,3.0195
9/5/07,3.0796
9/6/07,3.6177
9/7/07,2.3408
9/8/07,2.4609
9/9/07,2.3692
9/10/07,2.9169
9/11/07,2.9613
9/12/07,3.0642
9/13/07,2.5577
9/14/07,2.1399
9/15/07,2.766
9/16/07,2.071
9/17/07,2.5568
9/18/07,1.9591
9/19/07,3.4302
9/20/07,2.5873
9/21/07,5.2145
9/22/07,5.9611
9/23/07,3.893
9/24/07,1.8133
9/25/07,1.7908
9/26/07,2.0072
9/27/07,2.3356
9/28/07,3.5054
9/29/07,2.3998
9/30/07,3.026
10/1/07,3.5702
10/2/07,1.9198
10/3/07,3.02
10/4/07,4.2489
10/5/07,5.3305
10/6/07,3.6181
10/7/07,3.0664
10/8/07,2.1302
10/9/07,2.5309
10/10/07,2.4206
10/11/07,2.3233
10/12/07,3.056
10/13/07,1.6839
10/14/07,2.0432
10/15/07,2.406
10/16/07,3.6917
10/17/07,3.8745
10/18/07,3.06
10/19/07,1.9555
10/20/07,2.3665
10/21/07,5.2962
10/22/07,6.9573
10/23/07,5.0268
10/24/07,2.3559
10/25/07,1.6954
10/26/07,3.3258
10/27/07,2.5335
10/28/07,2.8352
10/29/07,3.0255
10/30/07,3.0843
10/31/07,1.4734
11/1/07,2.2914
11/2/07,2.0067
11/3/07,1.8666
11/4/07,1.6233
11/5/07,2.156
11/6/07,2.1038
11/7/07,1.5066
11/8/07,2.7457
11/9/07,2.8507
11/10/07,2.3694
11/11/07,1.5802
11/12/07,2.9642
11/13/07,2.1286
11/14/07,1.6586
11/15/07,2.0855
11/16/07,1.869
11/17/07,1.1857
11/18/07,1.004
11/19/07,1.4636
11/20/07,1.6843
11/21/07,1.8233
11/22/07,1.6265
11/23/07,2.4554
11/24/07,3.9639
11/25/07,2.7693
11/26/07,1.6128
11/27/07,2.3012
11/28/07,2.2303
11/29/07,1.984
11/30/07,4.1851
12/1/07,6.5496
12/2/07,2.0317
12/3/07,4.2465
12/4/07,3.5129
12/5/07,2.6444
12/6/07,3.9436
12/7/07,5.4849
12/8/07,5.3163
12/9/07,3.2283
12/10/07,2.6668
12/11/07,2.8822
12/12/07,3.0761
12/13/07,1.8181
12/14/07,1.1904
12/15/07,2.3471
12/16/07,1.9639
12/17/07,1.6851
12/18/07,2.306
12/19/07,2.2585
12/20/07,2.1405
12/21/07,4.4662
12/22/07,4.5595
12/23/07,4.3213
12/24/07,2.928
12/25/07,4.4739
12/26/07,3.1214
12/27/07,5.1351
12/28/07,1.8248
12/29/07,2.1767
12/30/07,2.1138
12/31/07,4.2963
