Date,"(%) Maximum Relative Humidity (gridMET) at -117.3962E,33.2170N, 2014-01-01 to 2014-12-31"
6/27/14,91.493
6/28/14,91.5922
6/29/14,93.8814
6/30/14,97.9691
7/1/14,100
7/2/14,100
7/3/14,100
7/4/14,100
7/5/14,96.9537
7/6/14,99.668
7/7/14,98.9424
7/8/14,99.6673
7/9/14,99.8933
7/10/14,93.8053
7/11/14,100
7/12/14,100
7/13/14,100
7/14/14,99.343
7/15/14,100
7/16/14,100
7/17/14,100
7/18/14,100
7/19/14,100
7/20/14,100
7/21/14,100
7/22/14,100
7/23/14,100
7/24/14,100
7/25/14,95.8033
7/26/14,96.8147
7/27/14,91.3281
7/28/14,93.252
7/29/14,97.3642
7/30/14,99.7911
7/31/14,98.2646
8/1/14,92.3563
8/2/14,90.1498
8/3/14,85.6743
8/4/14,100
8/5/14,94.9794
8/6/14,91.3178
8/7/14,93.318
8/8/14,87.7777
8/9/14,100
8/10/14,95.2321
8/11/14,90.6633
8/12/14,87.5182
8/13/14,92.5481
8/14/14,99.4748
8/15/14,98.8994
8/16/14,97.6122
8/17/14,99.9249
8/18/14,95.4337
8/19/14,91.0074
8/20/14,96.4173
8/21/14,95.0824
8/22/14,100
8/23/14,100
8/24/14,98.3262
8/25/14,99.2648
8/26/14,100
8/27/14,98.2852
8/28/14,100
8/29/14,100
8/30/14,100
8/31/14,92.695
9/1/14,97.0277
9/2/14,86.9642
9/3/14,82.4391
9/4/14,100
9/5/14,94.3647
9/6/14,86.34
9/7/14,83.8154
9/8/14,78.3406
9/9/14,100
9/10/14,99.4215
9/11/14,92.3054
9/12/14,94.5784
9/13/14,89.5807
9/14/14,83.214
9/15/14,83.2287
9/16/14,80.9886
9/17/14,92.5698
9/18/14,93.0422
9/19/14,96.5521
9/20/14,99.0312
9/21/14,100
9/22/14,100
9/23/14,100
9/24/14,87.6018
9/25/14,86.2736
9/26/14,100
9/27/14,100
9/28/14,100
9/29/14,100
9/30/14,100
10/1/14,100
10/2/14,90.6777
10/3/14,88.0674
10/4/14,91.5983
10/5/14,94.341
10/6/14,95.8597
10/7/14,97.3963
10/8/14,100
10/9/14,100
10/10/14,100
10/11/14,87.6373
10/12/14,93.7838
10/13/14,87.6547
10/14/14,83.4638
10/15/14,100
10/16/14,90.8086
10/17/14,92.871
10/18/14,100
10/19/14,100
10/20/14,93.9973
10/21/14,100
10/22/14,100
10/23/14,100
10/24/14,100
10/25/14,100
10/26/14,100
10/27/14,100
10/28/14,100
10/29/14,100
10/30/14,100
10/31/14,99.8057
11/1/14,100
11/2/14,100
11/3/14,100
11/4/14,100
11/5/14,98.4677
11/6/14,87.6695
11/7/14,88.589
11/8/14,100
11/9/14,100
11/10/14,85.0396
11/11/14,75.8871
11/12/14,93.4686
11/13/14,86.0278
11/14/14,100
11/15/14,100
11/16/14,100
11/17/14,83.4402
11/18/14,100
11/19/14,100
11/20/14,100
11/21/14,100
11/22/14,100
11/23/14,100
11/24/14,100
11/25/14,87.2368
11/26/14,97.7527
11/27/14,94.2128
11/28/14,100
11/29/14,100
11/30/14,100
12/1/14,98.305
12/2/14,82.6854
12/3/14,71.2812
12/4/14,95.9343
12/5/14,93.52
12/6/14,100
12/7/14,100
12/8/14,100
12/9/14,100
12/10/14,100
12/11/14,81.4996
12/12/14,100
12/13/14,100
12/14/14,100
12/15/14,100
12/16/14,98.4809
12/17/14,92.1127
12/18/14,99.4982
12/19/14,100
12/20/14,100
12/21/14,100
12/22/14,100
12/23/14,100
12/24/14,87.9347
12/25/14,100
12/26/14,63.7995
12/27/14,57.0951
12/28/14,72.5735
12/29/14,100
12/30/14,100
12/31/14,86.4878
