Date,"(deg C) Maximum Temperature (gridMET) at -117.3962E,33.2170N, 2014-01-01 to 2014-12-31"
6/18/14,20.8434
6/19/14,22.0143
6/20/14,23.0541
6/21/14,23.1436
6/22/14,21.2535
6/23/14,21.3242
6/24/14,21.3733
6/25/14,21.4339
6/26/14,21.5639
6/27/14,21.0932
6/28/14,21.4238
6/29/14,21.8036
6/30/14,20.1709
7/1/14,20.591
7/2/14,21.4806
7/3/14,22.6099
7/4/14,23.8805
7/5/14,25.6205
7/6/14,25.16
7/7/14,25.1209
7/8/14,22.9001
7/9/14,22.6806
7/10/14,23.0705
7/11/14,22.9001
7/12/14,22.35
7/13/14,22.4408
7/14/14,22.75
7/15/14,20.0005
7/16/14,23.0099
7/17/14,22.9607
7/18/14,23.1903
7/19/14,21.7708
7/20/14,23.6206
7/21/14,23.8502
7/22/14,23.7606
7/23/14,24.6704
7/24/14,26.0205
7/25/14,24.9102
7/26/14,24.0105
7/27/14,26.3801
7/28/14,27.6609
7/29/14,26.9908
7/30/14,25.541
7/31/14,25.7126
8/1/14,24.0332
8/2/14,24.943
8/3/14,25.4729
8/4/14,25.8022
8/5/14,24.3322
8/6/14,22.7323
8/7/14,23.2433
8/8/14,23.6723
8/9/14,24.0433
8/10/14,24.0029
8/11/14,24.8824
8/12/14,23.7531
8/13/14,23.8629
8/14/14,24.3928
8/15/14,26.4129
8/16/14,26.8029
8/17/14,26.2426
8/18/14,24.2628
8/19/14,23.2723
8/20/14,23.6723
8/21/14,24.4332
8/22/14,24.4622
8/23/14,24.4723
8/24/14,24.1833
8/25/14,24.6225
8/26/14,25.4527
8/27/14,28.9126
8/28/14,28.5933
8/29/14,25.5133
8/30/14,25.5032
8/31/14,24.948
9/1/14,24.5972
9/2/14,25.4477
9/3/14,25.0881
9/4/14,24.8672
9/5/14,24.9177
9/6/14,27.0073
9/7/14,29.4677
9/8/14,30.0873
9/9/14,28.2173
9/10/14,26.5782
9/11/14,27.2974
9/12/14,27.1776
9/13/14,27.4375
9/14/14,29.3176
9/15/14,30.4683
9/16/14,35.8877
9/17/14,31.098
9/18/14,25.0275
9/19/14,24.2376
9/20/14,23.5474
9/21/14,23.8376
9/22/14,24.0383
9/23/14,25.2773
9/24/14,26.7574
9/25/14,26.5681
9/26/14,24.5783
9/27/14,22.5481
9/28/14,22.5077
9/29/14,23.5171
9/30/14,25.3417
10/1/14,23.6017
10/2/14,31.1219
10/3/14,33.5724
10/4/14,31.7024
10/5/14,29.8816
10/6/14,29.2924
10/7/14,30.2627
10/8/14,25.1524
10/9/14,23.3619
10/10/14,23.1525
10/11/14,23.7127
10/12/14,23.0225
10/13/14,22.9418
10/14/14,23.1727
10/15/14,23.4124
10/16/14,23.0225
10/17/14,22.5821
10/18/14,22.3916
10/19/14,22.6616
10/20/14,22.0926
10/21/14,22.9821
10/22/14,25.0527
10/23/14,25.1827
10/24/14,27.652
10/25/14,23.9827
10/26/14,22.1519
10/27/14,21.4516
10/28/14,22.832
10/29/14,24.7322
10/30/14,23.8326
10/31/14,21.5298
11/1/14,18.9495
11/2/14,18.6794
11/3/14,22.1191
11/4/14,24.4597
11/5/14,28.3801
11/6/14,31.0399
11/7/14,30.4494
11/8/14,28.8394
11/9/14,22.9897
11/10/14,20.21
11/11/14,19.7494
11/12/14,20.109
11/13/14,20.2996
11/14/14,20.3299
11/15/14,20.3097
11/16/14,24.0496
11/17/14,23.42
11/18/14,24.1695
11/19/14,21.6598
11/20/14,20.3892
11/21/14,19.2296
11/22/14,20.3299
11/23/14,23.3493
11/24/14,25.8199
11/25/14,25.1398
11/26/14,27.57
11/27/14,30.11
11/28/14,26.4596
11/29/14,22.75
11/30/14,20.2592
12/1/14,21.3898
12/2/14,19.3495
12/3/14,19.4491
12/4/14,19.9198
12/5/14,18.8397
12/6/14,20.5999
12/7/14,25.1802
12/8/14,21.7494
12/9/14,23.3998
12/10/14,19.6901
12/11/14,19.4895
12/12/14,16.8296
12/13/14,16.9091
12/14/14,17.6498
12/15/14,17.2902
12/16/14,15.3395
12/17/14,17.2498
12/18/14,17.2397
12/19/14,18.6693
12/20/14,17.5098
12/21/14,18.9002
12/22/14,21.7595
12/23/14,25.1499
12/24/14,22.1392
12/25/14,18.9192
12/26/14,16.6492
12/27/14,16.6391
12/28/14,15.7798
12/29/14,16.3502
12/30/14,14.1294
12/31/14,10.6882
